Urls site Jecompare.immo;Residence;Urls site Leemo;Ville;Promoteur;Loi;Date du scrap
http://www.jecompare.immo/Residence-VILLA-NEPTUNE-Pinel-91100-Corbeil-Essonnes.php;VILLA NEPTUNE;programme.php?l=Pinel&d=91&x=19192;Corbeil-Essonnes;Promogerim;Pinel;01/16/2017 14:26:14
http://www.jecompare.immo/Residence-RESIDENCE-ALLIONIS-Pinel-17340-Châtelaillon-Plage.php;RESIDENCE ALLIONIS;programme.php?l=Pinel&d=17&x=19340;Châtelaillon-Plage;Bouygues;Pinel;01/16/2017 14:27:07
http://www.jecompare.immo/Residence-Terrasses-de-Paulmy-Pinel-64100-Bayonne.php;Terrasses de Paulmy;programme.php?l=Pinel&d=64&x=14814;Bayonne;Robert Alday;Pinel;01/16/2017 14:28:10
http://www.jecompare.immo/Residence-Les-Senioriales-de-Médis-Pinel--.php;Les Senioriales de Médis;programme.php?l=Pinel&d=17&x=16770;;Les Senioriales;Pinel;01/16/2017 14:28:40
http://www.jecompare.immo/Residence-Stella-Verde-Pinel-33185-Le-Haillan.php;Stella Verde;programme.php?l=Pinel&d=33&x=18495;Le Haillan;Kaufman and Broad / Labo Immo;Pinel;01/16/2017 14:29:32
http://www.jecompare.immo/Residence-Le-Domaine-de-Gascogne-Pinel--.php;Le Domaine de Gascogne;programme.php?l=Pinel&d=31&x=14573;;Urbat;Pinel;01/16/2017 14:30:32
http://www.jecompare.immo/Residence-LES-TERRASSES-DU-VERGER-Pinel-74520-Chevrier.php;LES TERRASSES DU VERGER;programme.php?l=Pinel&d=74&x=15394;Chevrier;Kaufman and Broad;Pinel;01/16/2017 14:31:28
http://www.jecompare.immo/Residence-CENTRAL-PARK-Pinel-62000-Arras.php;CENTRAL PARK;programme.php?l=Pinel&d=62&x=18035;Arras;Fiducim;Pinel;01/16/2017 14:32:32
http://www.jecompare.immo/Residence-CARRE-BALZAC-Pinel--.php;CARRE BALZAC;programme.php?l=Pinel&d=77&x=19608;;Crédit Agricole Immobilier;Pinel;01/16/2017 14:33:07
http://www.jecompare.immo/Residence-Ilo-Verde-Pinel-Oberschaeffolsheim,-Oberschaeffolsheim.php;Ilo Verde;programme.php?l=Pinel&d=67&x=18333;Oberschaeffolsheim;Cogedim;Pinel;01/16/2017 14:34:08
http://www.jecompare.immo/Residence-TERREO-Pinel--.php;TERREO;programme.php?l=Pinel&d=69&x=17668;;Bouygues;Pinel;01/16/2017 14:34:37
http://www.jecompare.immo/Residence-Les-Senioriales-de-Cavillargues-Programme-neuf--.php;Les Senioriales de Cavillargues;programme.php?l=Droit commun&d=30&x=14693;;Les Senioriales;Programme neuf;01/16/2017 14:35:05
http://www.jecompare.immo/Residence-LES-CAPITOULS-Pinel-31200-Toulouse.php;LES CAPITOULS;programme.php?l=Pinel&d=31&x=15271;Toulouse;Kaufman and Broad;Pinel;01/16/2017 14:36:08
http://www.jecompare.immo/Residence-O'Coeur-Pinel-4-Avenue-de-Montpellier.php;O'Coeur;programme.php?l=Pinel&d=34&x=19128;Avenue de Montpellier;Pitch Promotion / Labo Immo;Pinel;01/16/2017 14:37:02
http://www.jecompare.immo/Residence-RIVES-PLAISANCE-Pinel-95290-L'Isle-Adam.php;RIVES PLAISANCE;programme.php?l=Pinel&d=95&x=19620;L'Isle-Adam;Eiffage Immobilier;Pinel;01/16/2017 14:37:58
http://www.jecompare.immo/Residence-O2-PARCS-Pinel-13015-Marseille.php;O2 PARCS;programme.php?l=Pinel&d=13&x=19464;Marseille;Nexity;Pinel;01/16/2017 14:38:52
http://www.jecompare.immo/Residence-Urbancity-Pinel--.php;Urbancity;programme.php?l=Pinel&d=95&x=19507;;Bouygues;Pinel;01/16/2017 14:39:24
http://www.jecompare.immo/Residence-Le-Mellow-Pinel-69008-Lyon.php;Le Mellow;programme.php?l=Pinel&d=69&x=18809;Lyon;Cogedim;Pinel;01/16/2017 14:40:22
http://www.jecompare.immo/Residence-AUSTRAL-Pinel--.php;AUSTRAL;programme.php?l=Pinel&d=31&x=16010;;Carrere;Pinel;01/16/2017 14:40:55
http://www.jecompare.immo/Residence-LES-VILLAS-DES-COTEAUX-Pinel-94430-Chennevières-sur-Marne.php;LES VILLAS DES COTEAUX;programme.php?l=Pinel&d=94&x=18904;Chennevières-sur-Marne;Nexity;Pinel;01/16/2017 14:41:58
http://www.jecompare.immo/Residence-ÔNIA-Pinel--.php;ÔNIA;programme.php?l=Pinel&d=17&x=13668;;Vinci Immobilier;Pinel;01/16/2017 14:42:33
http://www.jecompare.immo/Residence-L'ECRIN-Pinel-Montpellier,-Montpellier.php;L'ECRIN;programme.php?l=Pinel&d=34&x=18374;Montpellier;Kaufman and Broad;Pinel;01/16/2017 14:43:42
http://www.jecompare.immo/Residence-ARBORESCENCE-Pinel-64600-Anglet.php;ARBORESCENCE;programme.php?l=Pinel&d=64&x=17688;Anglet;Bouygues;Pinel;01/16/2017 14:44:51
http://www.jecompare.immo/Residence-SO-XYGEN---Montivilliers-Pinel-76290-Montivilliers.php;SO XYGEN - Montivilliers;programme.php?l=Pinel&d=76&x=18760;Montivilliers;Seri Ouest;Pinel;01/16/2017 14:45:48
http://www.jecompare.immo/Residence-Les-Terrasses-du-Saint-Quentin-Programme-neuf-57050-Metz.php;Les Terrasses du Saint-Quentin;programme.php?l=Droit commun&d=57&x=13325;Metz;European Homes;Programme neuf;01/16/2017 14:46:50
http://www.jecompare.immo/Residence-SIGNATURE-Pinel--.php;SIGNATURE;programme.php?l=Pinel&d=78&x=18515;;Sogeprom;Pinel;01/16/2017 14:47:32
http://www.jecompare.immo/Residence-LES-JARDINS-PYTHAGORE-1-Pinel-62000-Arras.php;LES JARDINS PYTHAGORE 1;programme.php?l=Pinel&d=62&x=16803;Arras;Fiducim;Pinel;01/16/2017 14:48:28
http://www.jecompare.immo/Residence-In-City-Pinel-Avrillé,-Avrillé.php;In City;programme.php?l=Pinel&d=49&x=16282;Avrillé;Eiffage Immobilier;Pinel;01/16/2017 14:49:26
http://www.jecompare.immo/Residence-KER-AZUR-Programme-neuf-22520-Binic.php;KER AZUR;programme.php?l=Droit commun&d=22&x=14269;Binic;Imodeus;Programme neuf;01/16/2017 14:50:23
http://www.jecompare.immo/Residence-HORIZON-144-Programme-neuf-31500-Toulouse.php;HORIZON 144;programme.php?l=Droit commun&d=31&x=19082;Toulouse;Bouygues;Programme neuf;01/16/2017 14:51:22
http://www.jecompare.immo/Residence-ROMANCE-Programme-neuf-93360-Neuilly-Plaisance.php;ROMANCE;programme.php?l=Droit commun&d=93&x=18941;Neuilly-Plaisance;Ogic;Programme neuf;01/16/2017 14:52:19
http://www.jecompare.immo/Residence-KOENIG'S-PARK-TR3-Pinel-1-Rue-des-Greniers.php;KOENIG'S PARK TR3;programme.php?l=Pinel&d=67&x=17998;Rue des Greniers;Vinci Immobilier;Pinel;01/16/2017 14:53:16
http://www.jecompare.immo/Residence-RENAISSANCE-Pinel-74200-Thonon-les-Bains.php;RENAISSANCE;programme.php?l=Pinel&d=74&x=18709;Thonon-les-Bains;Carrere;Pinel;01/16/2017 14:54:13
http://www.jecompare.immo/Residence-Villa-Kennedy-Programme-neuf-92160-Antony.php;Villa Kennedy;programme.php?l=Droit commun&d=92&x=17916;Antony;Financière Rive Gauche;Programme neuf;01/16/2017 14:55:14
http://www.jecompare.immo/Residence-FoliaVerde-Pinel-34070-Montpellier.php;FoliaVerde;programme.php?l=Pinel&d=34&x=16976;Montpellier;Crédit Foncier Immobilier;Pinel;01/16/2017 14:56:13
http://www.jecompare.immo/Residence-Vert-en-Vue-Pinel-67100-Strasbourg.php;Vert en Vue;programme.php?l=Pinel&d=67&x=18335;Strasbourg;Cogedim;Pinel;01/16/2017 14:57:17
http://www.jecompare.immo/Residence-Carré-Cosy-Pinel-33150-Cenon.php;Carré Cosy;programme.php?l=Pinel&d=33&x=16685;Cenon;Tagerim;Pinel;01/16/2017 14:58:21
http://www.jecompare.immo/Residence-LES-TERRASSES-DE-BALMA-1-Pinel-31130-Balma.php;LES TERRASSES DE BALMA 1;programme.php?l=Pinel&d=31&x=16626;Balma;Green City;Pinel;01/16/2017 14:59:22
